moth_id,date,timestamp,position_x,position_y,length_mm,width_mm,area_mm2,species,source_image
45,2024-12-11,2024-12-11 15:49:04.913294,3657,1053,27.13,16.67,452.1,,15-49-04.jpg
1,2024-12-12,2024-12-12 07:59:38.884048,3694,3209,4.66,11.96,55.72,,07-59-38.jpg
2,2024-12-12,2024-12-12 07:59:38.884048,2203,2991,8.19,3.98,32.56,,07-59-38.jpg
3,2024-12-12,2024-12-12 07:59:38.884048,3242,1493,19.58,12.08,236.46,,07-59-38.jpg
4,2024-12-12,2024-12-12 07:59:38.884048,1397,2118,20.19,39.39,795.24,unknown,07-59-38.jpg
5,2024-12-12,2024-12-12 07:59:38.884048,3911,3136,10.15,4.34,44.01,,07-59-38.jpg
6,2024-12-12,2024-12-12 07:59:38.884048,1233,1168,30.01,17.6,528.35,,07-59-38.jpg
7,2024-12-12,2024-12-12 07:59:38.884048,3926,2168,19.23,52.78,1014.97,unknown,07-59-38.jpg
8,2024-12-12,2024-12-12 07:59:38.884048,2438,1595,6.1,16.86,102.91,,07-59-38.jpg
9,2024-12-12,2024-12-12 07:59:38.884048,2491,3364,30.2,49.27,1488.04,unknown,07-59-38.jpg
10,2024-12-12,2024-12-12 07:59:38.884048,1106,3374,22.43,13.5,302.75,,07-59-38.jpg
11,2024-12-12,2024-12-12 07:59:38.884048,2942,1409,7.05,4.02,28.32,,07-59-38.jpg
12,2024-12-12,2024-12-12 07:59:38.884048,1286,3465,7.13,4.46,31.78,,07-59-38.jpg
13,2024-12-12,2024-12-12 07:59:38.884048,2769,2274,64.44,27.66,1782.58,unknown,07-59-38.jpg
14,2024-12-12,2024-12-12 07:59:38.884048,3714,1849,47.33,27.23,1288.97,unknown,07-59-38.jpg
15,2024-12-12,2024-12-12 07:59:38.884048,3476,2015,4.63,11.19,51.8,,07-59-38.jpg
16,2024-12-12,2024-12-12 07:59:38.884048,3849,2178,12.06,5.3,63.93,,07-59-38.jpg
17,2024-12-12,2024-12-12 07:59:38.884048,2275,1248,37.06,18.52,686.15,unknown,07-59-38.jpg
18,2024-12-12,2024-12-12 07:59:38.884048,2323,3346,54.97,19.74,1085.35,unknown,07-59-38.jpg
19,2024-12-12,2024-12-12 07:59:38.884048,1560,2836,21.63,12.79,276.7,,07-59-38.jpg
20,2024-12-12,2024-12-12 07:59:38.884048,2188,1903,5.1,11.07,56.49,,07-59-38.jpg
21,2024-12-12,2024-12-12 07:59:38.884048,1202,2269,45.05,23.96,1079.42,unknown,07-59-38.jpg
22,2024-12-12,2024-12-12 07:59:38.884048,3050,2063,15.93,41.39,659.41,unknown,07-59-38.jpg
23,2024-12-12,2024-12-12 07:59:38.884048,1669,2042,36.23,17.69,641.12,unknown,07-59-38.jpg
24,2024-12-12,2024-12-12 07:59:38.884048,1347,1030,4.81,11.13,53.51,,07-59-38.jpg
1,2024-12-12,2024-12-12 15:49:03.129655,2191,2533,30.63,11.42,349.77,,15-49-03.jpg
2,2024-12-12,2024-12-12 15:49:03.129655,1879,1517,13.42,5.16,69.26,,15-49-03.jpg
3,2024-12-12,2024-12-12 15:49:03.129655,1949,2561,6.32,17.1,108.08,,15-49-03.jpg
